,Comment
969,You r So much Energetic and Allhamdolilah گیانی...<br><br>Best of Luck Brother from 🇵🇰
970,Very good
971,Anyone suggest me a good movie of dinosaur pls
972,1 mil. Years me khatam ho jayaenge insan
973,supar se upar bideo
974,⚠️⚠️⚠️🤔😰
975,Bro please time travel concept par video banao
976,Thank you so much for these wonderful knowledgeable information.... 😊
977,Reptiles cute dikhte the? 🙄
978,1 million pe ho jayega 😅
979,God is watching our misdeed whenever it reaches it last point!<br>Humans will be extinct
980,Everyone has to die..<br>Better be let&#39;s extinct..
981,i like your video
982,We really appreciate your work 🙏🏻
983,well researched
984,Less than 1 million😢
985,Our country has also crater in lonar lake Maharashtra
986,Stuck in dhruv rathee video loop
987,I prepared my extinction  topic of evolution and behaviour from this video <br>Omg Dhruv sir you are great thankyou so so much 💟🤍
988,One day earth 🌍 the end 🔚🔚
989,jitni jaldi mare utni acchi hain
990,Most beautiful video!!!!
991,Explain Schrodinger act experiment!!
992,Bahut bachche se apne samjhaya.....dil jeet liya apne....❤❤❤❤
993,PLANET:_KEPLER 425B(Explain)
994,UR RIGHT BUT EVOLUTION THEORY IS WRONG
995,Dhruv Bhai mein aapka video bahut dekhte aap puche Kitna sal Tak Insan kab tak rahenge mein batata hun aapko mere hisab se Ek Aisa samay aaega itna Ghar hoga itna Ghar hoga koi kabhi khula jagah nahin dekh
996,Bhai aap sab se best youtuber ho ❤ love u bro <br>Apki videos bhot achi aur knowledge se bhar pur hoti hai
997,LOVE YOUR VIDEOS BRO GREATEST EXLAINATION IN THE WORLD
998,❤❤❤❤❤
999,GAAN DHO KE AA PAHLE
