Comment,Author,Published At,Published Year,Sentiment Type
"The Bible says...1In the beginning, God created the heavens and the earth. 2 The earth was without form and empty. Darkness was upon the surface of the deep. The Spirit of God was moving above the surface of the waters. 3 God said, &quot;Let there be light,&quot; and there was light. 4 God saw the light, that it was good. He divided the light from the darkness. 5 God called the light &quot;day,&quot; and the darkness he called &quot;night.&quot; This was evening and morning, the first day.<br>6 God said, &quot;Let there be an expanse between the waters, and let it divide the waters from the waters.&quot; 7 God made the expanse and divided the waters which were under the expanse from the waters which were above the expanse. It was so. 8 God called the expanse &quot;sky.&quot; This was evening and morning, the second day.<br>9 God said, &quot;Let the waters under the sky be gathered together to one place, and let the dry land appear.&quot; It was so. 10 God called the dry land &quot;earth,&quot; and the gathered waters he called &quot;seas.&quot; He saw that it was good. 11 God said, &quot;Let the earth sprout vegetation: plants yielding seed and fruit trees bearing fruit whose seed is in the fruit, each according to its own kind.&quot; It was so. 12 The earth produced vegetation, plants producing seed after their kind, and trees bearing fruit whose seed was in it, after their kind. God saw that it was good. 13 This was evening and morning, the third day.<br>14 God said, &quot;Let there be lights in the sky to divide the day from the night and let them be as signs, for seasons, for days and years. 15 Let them be lights in the sky to give light upon the earth.&quot; It was so. 16 God made the two great lights, the greater light to rule the day, and the lesser light to rule the night. He made the stars also. 17 God set them in the sky to give light upon the earth, 18 to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good. 19 This was evening and morning, the fourth day.<br>20 God said, &quot;Let the waters be filled with great numbers of living creatures, and let birds fly above the earth in the expanse of the sky.&quot; 21 God created the great sea creatures, as well as every living creature after its kind, creatures that move and which fill the waters everywhere, and every winged bird after its kind. God saw that it was good. 22 God blessed them, saying, &quot;Be fruitful and multiply, and fill the waters in the seas. Let birds multiply on the earth.&quot; 23 This was evening and morning, the fifth day.<br>24 God said, &quot;Let the earth produce living creatures, each according to its own kind, livestock, creeping things, and beasts of the earth, each according to its own kind.&quot; It was so. 25 God made the beasts of the earth after their kind, the livestock after their kinds, and everything that creeps upon the ground after its kind. He saw that it was good. 26 God said, &quot;Let us make man in our image, after our likeness. Let them have dominion over the fish of the sea, over the birds of the sky, over the livestock, over all the earth, and over every creeping thing that creeps on the earth.&quot; a 27 God created man in his own image. In his own image he created him. Male and female he created them. 28 God blessed them and said to them, &quot;Be fruitful, and multiply. Fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves upon the earth.&quot; 29 God said, &quot;See, I have given you every plant yielding seed which is upon the surface of all the earth, and every tree with fruit which has seed in it. They will be food to you. 30 To every beast of the earth, to every bird of the heavens, and to everything that creeps upon the earth, and to every creature that has the breath of life I have given every green plant for food.&quot; It was so. 31 God saw everything that he had made. Behold, it was very good. This was evening and morning, the sixth day.",@neha94384,2024-03-23T10:07:26Z,2024,Neutral
He is the man of honour,@welcomepeople2742,2024-03-23T06:01:07Z,2024,Neutral
You means dinoallah 😂😂😂😂😂,@samyakbodhichannel8518,2024-03-23T03:32:52Z,2024,Neutral
Most appreciable work❤❤❤hats off to you Dhruv😍😍😍we can easily see your efforts in your videos🔥🔥,@atifazameer6132,2024-03-23T03:04:13Z,2024,Positive
Kon kon is video ko 2025 mein dekh raha hy😂😅,@churmat,2024-03-23T00:48:43Z,2024,Neutral
Mai,@shoabkhan7533,2024-03-22T21:06:22Z,2024,Neutral
But hum yr dinosaur se zyad time tak zinda rahe hai kyunki hamne astroid girne par bhi mammals ke roop me survive kiya tha,@amritpalsingh474,2024-03-22T15:43:21Z,2024,Neutral
"Dinosaur 🦖🦕 itne time Tak jinda isliye reh paye kyunki unhone kudrat se chedchad nhi ki aur hum humans ne nature ko puri taike se barbbad Kiya hai isliye hum unke jitna nhi ji sakte ,reason is temprature increase ho raha hai ,sea level badh Raha hai pollution increase ho rha hai ,green house gases badh rahi hai sk we cant survive like dinosaurs",@amritpalsingh474,2024-03-22T15:40:17Z,2024,Neutral
"Uh ig 6th extension already happened now it&#39;s 7th , 6th was great flood ig ?",@_Levi._,2024-03-22T13:39:28Z,2024,Neutral
Bhaiya aap teaching start kardo YouTube PE hamara bhi bhala ho jaega 😅,@mehaksihmar24,2024-03-22T12:02:46Z,2024,Neutral
I  am seeing this video in 2024,@GurpreetKaur-rg6lp,2024-03-22T10:32:07Z,2024,Neutral
Thank so much Bhai love you Bhai please replied please bhai,@Momenofflowshorts,2024-03-22T07:54:27Z,2024,Positive
Asteroid kahan se aata hai heaven main iska quantity kitna hai ye sab jankari kalpana kiya jata hai,@officialfamily12,2024-03-22T07:32:51Z,2024,Positive
Wʜᴀᴛ ᴀʙᴏᴜᴛ ᴋɪɴɢ ᴋᴏɴɢ😊😊,@INDIAN15.,2024-03-21T22:08:34Z,2024,Neutral
Very funny video tha....,@mdnurulazim4198,2024-03-21T11:49:16Z,2024,Positive
Who is watching this video in 2030??,@stunningboy4529,2024-03-21T09:34:39Z,2024,Neutral
"Make a video about Cockroach 🪳. <br><br>For your reference: Cockroaches are ancient insects, first appeared during the Carboniferous period, approximately 359 to 299 million years ago. They continued to evolve and diversify throughout subsequent periods, including the Mesozoic Era, when dinosaurs were dominant. Therefore, cockroaches lived alongside dinosaurs during the Jurassic and Cretaceous periods.<br><br>Also I just found a cockroach farm in shandong, China.",@Green_0.001,2024-03-20T20:21:07Z,2024,Neutral
"इंसान वन मिलियन ईयर भी जिंदा रह गया तो वह कई ग्रहों पर राज करेगा। <br>Sayad इंसान मरे ही ना ब्रेन, स्किन सब ट्रांसप्लांट कर लेगा न्यू बॉर्न बेबी के बॉडी से।",@JaiHind..4341,2024-03-20T16:20:56Z,2024,Neutral
Archaeopteryx used to glide not fly.,@kanavchauhan2467,2024-03-20T15:20:51Z,2024,Positive
"Why Gondwanaland name Diya Gaya,Kyonki INDIAN Subcontinent, South African Continent, Australian Continent, South American Continent Saareee Joo Alag,Sabo ke Kinaare, MUST Study Gond Tribal Community of India and its Evolution..U will be amazed, stunned after knowing the Reality..of Gondwanaland..",@dhhakankholhallabol3710,2024-03-20T11:02:12Z,2024,Neutral
"Make Video on Pangea, And its Split into Gondwanaland and",@dhhakankholhallabol3710,2024-03-20T10:45:19Z,2024,Neutral
Thank you bhaiya❤,@user-ru5kh9xb6u,2024-03-20T10:43:13Z,2024,Neutral
"it&#39;s impossible to guess our extinction, we humans have brain which is more and more capable of doing wonders again, sometimes I dream about more small specious than human. may be there will be  evoluation of very small specious then ants after our extinction occurs",@durgamnishipriya1556,2024-03-20T07:23:43Z,2024,Negative
Namskar sir ji,@pradeepamarjeetsingh1512,2024-03-20T07:04:08Z,2024,Neutral
1 video saddam hussain pr bhi bnao,@user-ko2js6se8x,2024-03-20T01:43:45Z,2024,Neutral
Mass extension jayuri h bhai ab koi baccha sakta in insano 😂,@SachinGupta-xs8fq,2024-03-19T21:03:15Z,2024,Neutral
एक दिन ह्यूमन being भी ऐसे ही खतम हो जाऐगे,@pankajs5448,2024-03-19T17:08:19Z,2024,Neutral
Did the asteroid impact <br>alter the path of the earth,@esnraju979,2024-03-19T15:24:54Z,2024,Neutral
Ok,@Animetiem,2024-03-19T14:00:47Z,2024,Positive
❤❤❤?❣️,@Animal-ShortsR,2024-03-19T06:19:44Z,2024,Neutral
"Insan bhi ese hi khatm ho jayga ek din , bht ghamand hai insan ko khud per",@thewinners4452,2024-03-19T05:19:26Z,2024,Neutral
Scientist ko kaise pata chalta he k ek fossil itna saal purana he.,@Affan-uu7uv,2024-03-19T03:23:22Z,2024,Neutral
JEE aspirant <br>2025<br>😎😎😎,@Education-35,2024-03-18T17:38:31Z,2024,Neutral
"Dhrub Rathiji many thanks for this video. It must have enormous amount of time to prepare it. However, I have a question:<br>Significance of Deccan Trap volcanism on extinction has been ignored.",@shushantasarangi9008,2024-03-18T17:12:08Z,2024,Positive
Me watching this after studying evolution chapter of class 12 biology 😅😅,@baibhavmishra1883,2024-03-18T17:10:22Z,2024,Neutral
"I THINK WE WILL GET EXTINCTED BEFORE SPAN OF DINOSAURAS FOR SURE, I DON&#39;T HAVE ANY HOPE IN THIS REGARD",@Harsh-ff8rs,2024-03-18T16:15:47Z,2024,Positive
"Every living being is created by Allah, a living being cannot just come into existence and especially have a soul on the basis of chance.",@khizirfarrukh,2024-03-18T13:10:45Z,2024,Neutral
Nasa wale bohot khatarnak hai 😂,@akashshaikh1653,2024-03-18T13:10:43Z,2024,Neutral
Great ❤❤,@anandrautiya1070,2024-03-18T09:16:20Z,2024,Positive
2026 right?,@Mingu-zk7zx,2024-03-18T03:09:39Z,2024,Positive
From pakistan,@ansariclothing2023,2024-03-18T01:02:48Z,2024,Neutral
🇧🇩🇧🇩🇧🇩❤️❤️❤️,@Anamul52,2024-03-17T17:40:13Z,2024,Neutral
Is world ka sabse bada khatra insaan hi hai jo apne matlab aur fayde ke liye nature se khilwad karta hai hum insaan hi hain jo is duniya ko barbaad karenge wo bhi 200 saal ke andar,@ambroshgardia5082,2024-03-17T16:13:34Z,2024,Neutral
Bahut badhiya samajhta ho bhaiya thankyou ❤,@KARNAMISHAL,2024-03-17T16:08:25Z,2024,Neutral
hamara modi kisi asteroid sa kam hai kya😂,@Ranu490,2024-03-17T10:47:02Z,2024,Neutral
Bro you are a good informer 😮 and way of speaking 😊❤,@Sarangmuneer99,2024-03-17T09:05:20Z,2024,Positive
Sub fake hai,@user-vn2vn3vj5q,2024-03-16T18:14:30Z,2024,Negative
Am the best😢,@Jawad_Khan9,2024-03-16T06:27:12Z,2024,Positive
Kon kon ye video 2028 me dekh Raha hai,@shivambais2113,2024-03-16T05:25:51Z,2024,Neutral
2024  wale like kre,@Kingbabarcaptainagain,2024-03-16T02:43:10Z,2024,Neutral
"Some people are saying in the comment section that dinosaurs really existed, i mean seriously 😅😂",@nilabhbhosale6709,2024-03-15T20:02:05Z,2024,Positive
Kon kon is video ko 2025 mai dekh rha hai 😅,@saurabhrai9009,2024-03-15T18:03:25Z,2024,Neutral
Bhai ek Video Elctoral bonds. Pe bhi banaiye plz...,@avaneeshvermaverma2744,2024-03-15T15:30:30Z,2024,Neutral
Mujhe nahi lagta insaan 1000 saal bhi jinda rah payega,@Rajak9271gate,2024-03-15T05:31:29Z,2024,Neutral
Vahan or us time par kab pahunch gaya re tu bata.sabko ense hi bevkoof banata hai.chal jhoota bakwaas band kar,@user-oo3vv8nx4i,2024-03-14T17:12:57Z,2024,Neutral
Vahan or us time par kab pahunch gaya re tu bata.sabko ense hi bevkoof banata hai.chal jhoota bakwaas band kar,@user-oo3vv8nx4i,2024-03-14T17:12:42Z,2024,Neutral
कोई भी इसे रोकने को नहीं सोच रहा हैं सबको यह लग रहा हैं जब हमे 60 जीना ही हैं तो क्यों इन दिमाकी कामों में लगे क्यों न हम केवल और केवल एंजॉय करके जिए क्योंकि 60 साल तक तो ऐसा बिल्कुल नहीं होगा की एक्सटेंशन हों जाए।😊,@Ravikant_official_channel,2024-03-14T16:19:30Z,2024,Neutral
Kon kon video ko aaj dekh raha h??,@DARKPSYCOLOGYFACT,2024-03-14T14:44:25Z,2024,Neutral
Kon kon ise 14/24 ko dekh rhe hai 😊,@babluk6887,2024-03-14T13:37:36Z,2024,Neutral
Before 1 million years,@MIRALI-kx5wq,2024-03-14T10:42:34Z,2024,Neutral
Yoaimo jjk fan understand,@karanchoydharysiri6868-8,2024-03-14T06:39:50Z,2024,Neutral
No one can beat youmangasaur!😎😂,@Anmol_vac,2024-03-14T04:34:21Z,2024,Neutral
ommgg sir my class 12 bio syllabus get revised 😊😊😊😊😊,@Aesthetic_study_vlog,2024-03-13T21:20:37Z,2024,Neutral
Geological time scale,@rajaryanprasad6258,2024-03-13T20:14:41Z,2024,Neutral
"March 2024, present ma&#39;m 😇",@AlAsadiCollection,2024-03-13T18:57:21Z,2024,Neutral
Love from Pakistan 🇵🇰 ❤,@K.KCallig,2024-03-13T17:49:50Z,2024,Positive
Kon kon 2025 me ye video dekh Raha hai,@HX4ADARSH,2024-03-13T12:00:38Z,2024,Neutral
Kon kon yah vedeo 2026 me dekh raha hai 😊😊,@user-gr8es1iq2y,2024-03-13T03:47:01Z,2024,Neutral
Insan nehi bachenge 🥺,@umalshamim828,2024-03-12T22:43:35Z,2024,Neutral
Dinosaur Kiya khate the us waqt,@nisharahammed9300,2024-03-12T10:58:06Z,2024,Neutral
कौन कौन 2025 में देख रहा है 😅,@studylover1209,2024-03-12T10:20:12Z,2024,Neutral
Acchi tarah se kaise bolate ho bahut achcha lagta hai,@mohdfaraz3636,2024-03-12T09:58:19Z,2024,Neutral
Sar itna dimag kahan se aata hai,@mohdfaraz3636,2024-03-12T09:57:52Z,2024,Neutral
Kiss kiss ne ye video abhi dekhi hai,@indiannews8578,2024-03-12T04:16:13Z,2024,Neutral
What if astroid stone 🪨 again hit earth 😢,@krushnajadhavff,2024-03-12T03:44:20Z,2024,Neutral
Dhruv sir CAA pr video banao plc,@sandipmhaske9901,2024-03-12T03:01:04Z,2024,Neutral
I like your video  and your way to explain ❤😂😊,@siftreetkaursekhon9368,2024-03-12T02:32:47Z,2024,Neutral
Inke relatives nikle b to kon chickens? 😅,@GhumroQadir,2024-03-11T18:28:38Z,2024,Neutral
Us wqt m insan hote to inko kha jate 😅,@GhumroQadir,2024-03-11T18:28:18Z,2024,Neutral
Me,@ANU-wz5ib,2024-03-11T15:53:36Z,2024,Neutral
👍😆🤣,@vasupatidar4763,2024-03-11T15:29:02Z,2024,Neutral
Make a video bro solar storem,@user-kv9kf5bz9c,2024-03-11T07:34:04Z,2024,Neutral
Golden period for mother Earth Jurassic World 🌍,@pratikjagdalepatil1628,2024-03-10T19:08:56Z,2024,Positive
170 million means how much in carodes or lakhs?,@pratikjagdalepatil1628,2024-03-10T18:08:17Z,2024,Positive
अगर ये विडियो सच है तो 33 करोड़ झूठे है काल्पनिक है,@Sarthakverma-ry3xl,2024-03-10T16:14:37Z,2024,Neutral
Kudrat k aage koi theory nai chalti!,@shubhamozha6702,2024-03-10T15:45:06Z,2024,Neutral
Inshan bhi gayab ho jayega ese hi😂,@lios_soory,2024-03-10T00:27:00Z,2024,Neutral
👎👎👎👎,@sdbiswas4048,2024-03-09T22:01:57Z,2024,Neutral
Your presentation skills are outstanding. Very informative video. We will get wiped much earlier than the dinosaurs.,@shaziaanjum4125,2024-03-09T17:56:34Z,2024,Positive
Mujhe nahi lagta ki insan survive ker panga itna time take yaa aake Karan nahi hai aise kitne sabal hai ki insano ka aante hona gaa raha hai 😢😢😢😢,@user-cq4uu1mx8f,2024-03-09T16:59:51Z,2024,Neutral
How are you so sure,@kirankumar-xo5ku,2024-03-09T16:52:42Z,2024,Positive
भाई मैंने तो सुना है इस धरती को भगवान ने बनाया है।आप क्या कहते हैं।,@roshantirkey2955,2024-03-09T16:21:45Z,2024,Neutral
Mai dekh raha hu,@shahbazanwar4,2024-03-09T16:14:45Z,2024,Neutral
Kon kon ye video 2024 march me dekh rahe hai,@shriomchaturvedi8241,2024-03-09T14:01:52Z,2024,Neutral
Probably nuclear war between 2 countries will destroy everything,@usman7160,2024-03-09T06:27:08Z,2024,Negative
Sir Buddha per video banavo na please,@akshaykambale8064,2024-03-09T06:14:33Z,2024,Neutral
Per Palacio source toh survive kar gae honge na,@AleeGamingStudio,2024-03-09T05:59:58Z,2024,Neutral
Bakvas h ye,@himanshukatre3079,2024-03-08T18:49:27Z,2024,Neutral
"Sir always smiling 😂😂😂 cause we don&#39;t know anything, still give attention 😂😂😂😂😂",@SARUARSK,2024-03-08T18:14:15Z,2024,Neutral
"But crocodile 🐊 still survived on same area where the asteroid hit the earth, I can&#39;t believe,🤔🤔🤔😂",@nadeemanwer2451,2024-03-08T15:35:10Z,2024,Neutral
"How it is possible that an Giant asteroid kill all types of Dinosaurs even they live in ocean, land or Air would wavish, but all other species of animals survived",@nadeemanwer2451,2024-03-08T15:28:15Z,2024,Neutral
Save earth,@priyamane9374,2024-03-08T14:39:37Z,2024,Neutral
Kon ye video Kal dekh rha he,@pratikmakwana8976,2024-03-08T07:01:13Z,2024,Neutral
Kon kon video aaj dekh rha h,@pratikmakwana8976,2024-03-08T06:56:15Z,2024,Neutral
History samajhna hai to quraan padho,@Rukhsar.Siddiqui,2024-03-08T05:13:25Z,2024,Neutral
Zabrdast Rathee bhae I m big fan of your videos regarding information love you too ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ Ap se bat ho sakti hy kia Rathee bhae,@MuhammadShahidNawaz-kz1zc,2024-03-08T04:10:43Z,2024,Neutral
Thankyou ❤❤❤ bhaiya,@user-gf4xy8xs5m,2024-03-08T01:31:11Z,2024,Neutral
Nahi tod pai Gai insan dinosaur ka record,@saleemsumroo9842,2024-03-07T10:56:54Z,2024,Neutral
Dr afiya Siddiqui ke barre mean video banaoo please sir,@GMrahiTop-zv9rz,2024-03-07T10:45:20Z,2024,Negative
1 lakh year booom earth,@fitnessking553,2024-03-07T10:21:11Z,2024,Neutral
I think humans can&#39;t beat the record of Dinosaurs and Humans go extinct before they&#39;re 2 millions years old.,@khalid-bin-ibrahim,2024-03-07T09:56:47Z,2024,Neutral
Allah is the greatest ❤❤,@MM-zk4np,2024-03-07T03:26:15Z,2024,Positive
Allah is the best creator<br>❤❤,@MM-zk4np,2024-03-07T03:26:01Z,2024,Positive
Kon yeh video 2050 meh dekh rha hai😂,@thetitan6354,2024-03-06T18:53:13Z,2024,Neutral
Sayad hi 0.5 million year survive ho sake,@shakilsheikh2594,2024-03-05T19:07:37Z,2024,Neutral
Jurassic series fans h❤❤❤,@kamilkhan242,2024-03-05T18:40:45Z,2024,Neutral
Knowledge man Dhruv rathee,@adventure123.,2024-03-05T16:29:41Z,2024,Neutral
"Video is best ,but please add reference of Indian meteortic crator in lonar , buldhana, Maharashtra",@kalpanawagh1180,2024-03-05T16:27:19Z,2024,Positive
😅😮😅,@rohidasshinde2045,2024-03-05T08:46:12Z,2024,Neutral
Jaise Aaj hum extinct dinosaurs ki video dekh rahe Hain waise hi 250M years baad new species human extinct ki videos dekh rahe honge vo bhi batayenge kabhi insaan Raha karte the😂,@PrashantChaudhary17,2024-03-04T19:50:55Z,2024,Negative
Good job,@user-fy8ju9qw9h,2024-03-04T18:25:01Z,2024,Positive
Koi nahi bata payega exactly.,@jetroeducation,2024-03-04T16:13:51Z,2024,Positive
"people who believe in earth or nature process then they must welcome the asteroid attack , because think everything who came or evolve on earth accepted the process of nature in spite of humans who become over smart",@Rainloureankit,2024-03-04T15:54:58Z,2024,Neutral
<b>DRS</b> 🗿,@priyanshu_sahu.,2024-03-04T15:36:20Z,2024,Neutral
Dina suar ke phle ka btao,@experimentays495,2024-03-04T11:45:47Z,2024,Neutral
JURASSIK PARK BEST MOVIE,@girishbhaiparmar5194,2024-03-03T17:30:59Z,2024,Positive
Where was the god in this era 😢,@user-wq4lv8mj6v,2024-03-03T16:11:39Z,2024,Neutral
"जहां तक मेरा मानना है, अगले 1000 साल में ही हमारी पृथ्वी पर फिर से एक नया विलुप्तीकरण होने वाला है। हमारे देश में तो जिन मूर्खों के हाथों में पॉवर है, वो बायोडायवर्सिटी चाहते ही नहीं हैं।<br>ग्लोबल वार्मिंग के कारण आर्कटिक महासागर की बर्फ पिघल कर खत्म हो चुकी होगी। समुद्री तटों के ज्यादातर शहर जल मग्न हो चुके होंगे।<br>प्रदूषण के साथ साथ मानव जनित समस्याओं के कारण सैकड़ों जलीय जातियां पूर्णतया विलुप्त हो चुकी होंगी। जिसके कारण अकेले मानव प्रजाति भी लम्बे समय तक अपना अस्तित्व नहीं बचा पाएगी। और अगर रेडियोएक्टिव प्रदूषण पर ध्यान न दिया गया तो सकता है, जीन लेवल का उत्परिवर्तन एक अलग ही जीवन की ओर इस पृथ्वी को देखा जायेगा।😂😂😂",@raghvendrayadav3747,2024-03-03T12:41:07Z,2024,Neutral
Sb Mahadev Ki Maya Hai,@Mahakaal_Kattar_Bhakt,2024-03-03T10:58:48Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1237"">20:37</a> 😢😢",@thenameishitesh,2024-03-03T10:46:22Z,2024,Neutral
Love From Bangladesh ❤🎉,@BaharulIslam-pr1pf,2024-03-03T09:08:44Z,2024,Positive
We will extinct within one million year because we are human being,@nathinathi1197,2024-03-03T07:59:08Z,2024,Negative
Sayad Aaj Tak Zinda hote Ta MAN jese khatarnak jib paida na hota,@sanjibkumar5012,2024-03-03T07:54:57Z,2024,Neutral
Bhagwan ke age kus Ni a jab kharam hogya scitest vi sath Mai kharam ho jayege 😂😂,@RajuSingh-wl8nf,2024-03-03T02:29:51Z,2024,Neutral
Real Content,@user-st5is4du5s,2024-03-02T14:06:36Z,2024,Positive
Are Bhai ye Maine class 10 th geography main hai laurasia and gondowanaland,@hafijurrahman-on5lb,2024-03-02T07:51:13Z,2024,Positive
Democrecy dead in India,@user-zz9hb4iq7b,2024-03-02T06:23:46Z,2024,Negative
"जब तुम ये सब जानते हो तो तुमने काल्पनिक कहानी के सबुत देने का प्रयास किसलिऐ किया था ,जबकी तुमको सब पता था ,फिर भी उस कहानी के झुठे प्रमाण दे रहे थे ,उस पर तुम्हारी फजीती तो खुब हुई और तुम्हारे ऊपर विडियो भी बन ग‌ई और तुम उसमे झुठे साबित हुऐ ,इसलिऐ अगली बार धर्म पर ज्ञान मत देना ।",@user-rb1uz1vc3r,2024-03-01T17:38:26Z,2024,Neutral
Dhruv your videos very knowledge full,@NareshKumar-jt6ez,2024-03-01T16:43:52Z,2024,Positive
डाइनोसर तो एक मिथ है इसके बारेमे कोहि भी सबुत नही मिलराहा है,@sabinnepali921,2024-03-01T15:47:37Z,2024,Neutral
U are great,@mikelander28,2024-03-01T15:05:01Z,2024,Positive
The 6th extinction is 100 to 1000 times more impactful than the previous ones..,@sincere457,2024-03-01T03:35:20Z,2024,Neutral
"Triassic, jurassic .... Class 12th Evolution 🧬 Bro 😂😂😂😂<br>Revise hogaya BTW, thank you 😅",@sincere457,2024-03-01T03:18:32Z,2024,Neutral
pls make video on Anne frank,@Vitaminmotivation,2024-02-29T15:47:36Z,2024,Neutral
Earth&#39;s Birth &amp; Ghrowth to complete guide this Video... Thanks,@TradingSkill963,2024-02-28T20:27:47Z,2024,Positive
WoW you have a very informative brain Mashallah,@user-my9oz7xd6q,2024-02-28T16:54:52Z,2024,Positive
Pehele khatam hoga,@gawoliyalorainamul829,2024-02-28T14:29:05Z,2024,Neutral
Humans would extinct in the span of Less than 1 million years .... Due to excessive global climatic disturbances made to the earth 😢....,@mimisaha8026,2024-02-28T09:51:25Z,2024,Negative
Nasa wale bahut khatarnak hai 😂😂😂😂😂😂😂😂😂,@user-it2gy5ib3y,2024-02-28T01:12:26Z,2024,Neutral
❤❤❤❤❤,@KashifAli-lx5io,2024-02-27T20:04:10Z,2024,Neutral
Is vedio ko dekh k patà chala Islam ek truth hai religion hai. Dianasour k lye woh qayamat ka din tha. Islam mein bhi bataya gaya hai ki ek din Qayamat ayegi woh din bhi dianasour k time ki tarha ho hoga jis din hum sab extinct ho jayenge.,@Moinkhan-xb7hx,2024-02-27T19:28:18Z,2024,Neutral
Tere jesa deah drohi nai rahe to inshan jinda rehenge,@sk_s_6150,2024-02-27T18:14:36Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=984"">16:24</a> bhai ki hansi ❤❤❤",@bilaltyagi56,2024-02-27T13:51:17Z,2024,Neutral
That&#39;s mean our future going to change and one day human not live Earth 😊😊,@user-he7ds2kj1f,2024-02-27T11:51:47Z,2024,Negative
Tu kuchh bhi nahin jaanta mere Bhai kuchh bhi nahin jaanta tu kuchh bhi nahin jaanta 😡,@user-sx9go9li2o,2024-02-27T09:54:36Z,2024,Negative
😡😡😡😡💪,@user-sx9go9li2o,2024-02-27T09:53:42Z,2024,Neutral
Addicted to Dhruv Exceptional videos ❤,@rehanalikhan6417,2024-02-26T18:43:20Z,2024,Positive
😅😅,@user-jn8dj8mf5k,2024-02-26T16:37:52Z,2024,Neutral
I belong gond tribe,@user-gl8yk4op1g,2024-02-26T16:29:27Z,2024,Neutral
Science to jhote b bolta hei,@user-uj2oc9um9j,2024-02-26T13:45:30Z,2024,Neutral
"Super duper Hero 💪💪💪👏🆒😎❤❤❤❤❤❤ <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=44"">0:44</a> <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=44"">0:44</a> 😊😊😊😊😊",@user-hy4gv1bj9h,2024-02-26T04:15:20Z,2024,Positive
kabhi mare huye jinda huye h news me suna he please describe it what will happen in kanpur,@kanakNirgude,2024-02-25T17:45:09Z,2024,Neutral
This is one of the best informational video I have ever seen❤️👍🔥,@parthdesale455,2024-02-25T14:58:23Z,2024,Positive
Humans won&#39;t survive more than 1 million 😂,@amitmathur6128,2024-02-25T11:00:20Z,2024,Neutral
वह जंगह छुपा दी गई है😊😊,@Allshorts517,2024-02-25T08:34:42Z,2024,Neutral
Ha,@Ashokshar409,2024-02-25T07:13:19Z,2024,Neutral
Please make a video on Simpsons predictions,@vipinbora,2024-02-24T22:06:56Z,2024,Neutral
Lauraisa 😂,@soitama67,2024-02-24T19:07:05Z,2024,Neutral
Gratitude 🙏,@nilam4690,2024-02-24T14:57:58Z,2024,Neutral
Pokémon spotted,@Its_sarthak.143,2024-02-24T12:08:12Z,2024,Neutral
Kya iss puree video me tumnee ek chiz notice kya-<br>Survival of the fittest (chals darvin),@insanegamer7324,2024-02-24T11:15:14Z,2024,Neutral
It is true Dinasaur Exist in the world 100 million years ago,@user-jx4yj7vw8t,2024-02-24T06:11:00Z,2024,Positive
This video sponsored by ark survival evolved primal fear 😂,@YOUTUBEDESERT-fh5rb,2024-02-23T17:14:30Z,2024,Neutral
Bhai maza agya apki video dekh ke❤,@rishahsingh3257,2024-02-23T14:34:34Z,2024,Neutral
Ap Boht zaheen ho is video ko bna k bhi ap ko Kya lagta ha k ye sb Kuch khud ba khud hua ya Allah ha Jo ye sb krta ha r wo aik ha only one and so powerful,@HaniaAnsar-iv4qk,2024-02-23T14:08:44Z,2024,Neutral
"This is the clock of earth that returns again and again. In cyclic order. Satya juga, treta, dapar, kali, and again satya yuga",@DigitalVovoghure,2024-02-23T08:51:13Z,2024,Neutral
Extinction happened before because of the Sun only. Veda me bataye gaye kaliyuga sabse chota he.,@DigitalVovoghure,2024-02-23T08:18:09Z,2024,Neutral
We can&#39;t break the record of DINOSAURS.,@sandhyakaspate9638,2024-02-23T07:22:03Z,2024,Neutral
We should protect mother earth by observing 15 days of masterly inactivity of humans in a year,@avinashtelgote4399,2024-02-22T16:33:29Z,2024,Neutral
Very Educational,@rajulg1036,2024-02-22T14:49:44Z,2024,Positive
